"전출지별","전입지별","성별","연령별",2018,2019,2020,2021,2022,2023
"전출지별","전입지별","성별","연령별",순이동자수 (명),순이동자수 (명),순이동자수 (명),순이동자수 (명),순이동자수 (명),순이동자수 (명)
"대구광역시","전국","계","계",14242,23673,16835,24319,11519,5288
"대구광역시","전국","계","0 - 4세",-537,-215,-168,-232,-893,-1340
"대구광역시","전국","계","5 - 9세",-33,147,182,-50,-683,-1049
"대구광역시","전국","계","10 - 14세",210,284,358,253,-224,-400
"대구광역시","전국","계","15 - 19세",1314,1587,996,1308,-67,448
"대구광역시","전국","계","20 - 24세",2641,3749,1225,3816,1709,3088
"대구광역시","전국","계","25 - 29세",3399,5503,3985,5208,4824,4000
"대구광역시","전국","계","30 - 34세",414,1907,1676,1793,836,32
"대구광역시","전국","계","35 - 39세",193,1134,960,893,-197,-1049
"대구광역시","전국","계","40 - 44세",622,957,888,1006,-37,-615
"대구광역시","전국","계","45 - 49세",1192,1636,1105,1465,636,58
"대구광역시","전국","계","50 - 54세",1470,1977,1303,2072,1155,402
"대구광역시","전국","계","55 - 59세",1453,1964,1431,2267,1469,755
"대구광역시","전국","계","60 - 64세",1055,1518,1413,2259,1572,824
"대구광역시","전국","계","65 - 69세",545,830,774,1087,919,374
"대구광역시","전국","계","70 - 74세",260,343,328,647,356,120
"대구광역시","전국","계","75 - 79세",96,218,175,273,152,-107
"대구광역시","전국","계","80세이상",-52,134,204,254,-8,-253
